seed,decisionIndex,microturnClass,elapsedMs,previewBranch,candidateCount,encodedStateBuildCount,encodedStateCacheObjectHitCount,encodedStateCacheHashHitCount,encodedStateCacheMissCount,bytecodeCacheCompileCount,cacheHits,cacheMisses,cacheCompileTimeMs,wasmScoreRowRouteCount,wasmScoreRowUnsupportedCount,wasmPreviewCandidateFeatureRowRouteCount,wasmPreviewCandidateFeatureRowUnsupportedCount,wasmProductionPreviewDriveRouteCount,wasmProductionPreviewDriveUnsupportedCount,wasmProductionPreviewDriveUnsupportedReasons,wasmProductionPreviewDriveBatchCount,marshalingMs,executionMs,deserializationMs,wasmCallCount,wasmTimingBuckets,bytesSerialized,serializationCallCount,wasmSerializationStats,cacheWriteMs,cacheWriteBytes,cacheWriteCount,tokenStateIndexBuildCount,persistentTokenStateIndexCacheHitCount,persistentTokenStateIndexCacheMissCount,persistentTokenStateIndexCacheWriteCount,zobristKeyCacheHitCount,zobristKeyCacheMissCount,staticRebuildCount,hotPathBuckets,seatId,profileId,turnCount,turnId,decisionKind,previewCapClass,selectedStableMoveKey,scoreRowsBatchSizeMean,scoreRowsBatchSizeMin,scoreRowsBatchSizeMax,scoreRowsBatchSizeHistogram,previewCandidateFeatureRowsBatchSizeMean,previewCandidateFeatureRowsBatchSizeMin,previewCandidateFeatureRowsBatchSizeMax,previewCandidateFeatureRowsBatchSizeHistogram,productionPreviewDriveBatchSizeMean,productionPreviewDriveBatchSizeMin,productionPreviewDriveBatchSizeMax,productionPreviewDriveBatchSizeHistogram
1000,0,event,196.9582,singlePass,11,1,0,0,1,10,0,10,0.5702,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,2.6804,1.0599,0.0875,10,"[{""routeClass"":""scoreRows"",""marshalingNs"":2680400,""executionNs"":1059900,""deserializationNs"":87500,""callCount"":10,""batchSizeSum"":100,""batchSizeMin"":10,""batchSizeMax"":10,""batchSizeHistogram"":{""9-16"":10}}]",329472,10,"[{""axisLabel"":""actionSelection|none"",""totalBytes"":329472,""callCount"":10}]",0,0,0,18,0,0,5,1586,15,3,[],us,us-baseline,0,0,actionSelection,standard256,"event|{""eventCardId"":""card-75"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event",10,10,10,"{""9-16"":10}",,,,,,,,
1000,1,rally,8.5226,singlePass,1,0,0,1,0,6,0,6,0.2318,1,0,2,0,2,0,[],2,1.6746,0.4849,0.512,8,"[{""routeClass"":""previewCandidateFeatureRows"",""marshalingNs"":910900,""executionNs"":70200,""deserializationNs"":2200,""callCount"":2,""batchSizeSum"":2,""batchSizeMin"":1,""batchSizeMax"":1,""batchSizeHistogram"":{""1"":2}},{""routeClass"":""productionPreviewDrive"",""marshalingNs"":599200,""executionNs"":284800,""deserializationNs"":507800,""callCount"":2,""batchSizeSum"":2,""batchSizeMin"":1,""batchSizeMax"":1,""batchSizeHistogram"":{""1"":2}},{""routeClass"":""scoreRows"",""marshalingNs"":164500,""executionNs"":129900,""deserializationNs"":2000,""callCount"":4,""batchSizeSum"":4,""batchSizeMin"":1,""batchSizeMax"":10,""batchSizeHistogram"":{""1"":4}}]",197500,8,"[{""axisLabel"":""rally|none"",""totalBytes"":197500,""callCount"":8}]",0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,actionSelection,standard256,rally|{}|true|operation,1,1,10,"{""1"":4}",1,1,1,"{""1"":2}",1,1,1,"{""1"":2}"
1000,2,rally:chooseNStep:add,0.6021,none,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""the-parrots-beak:none""",,,,,,,,,,,,
1000,3,rally:chooseNStep:confirm,0.1022,none,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.9.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:confirm:null,,,,,,,,,,,,
1000,4,rally:chooseOne,0.1336,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,1,chooseOne,standard256,"chooseOne:decision:doc.actionPipelines.9.stages[1].effects.0.forEach.effects.1.let.in.0.if.then.0.if.else.0.chooseOne::$noBaseChoice[0]:""place-guerrilla""",,,,,,,,,,,,
1000,5,march,6.7795,singlePass,1,1,0,0,1,0,6,0,0,1,0,2,0,2,0,[],2,0.9439,0.292,0.2234,8,"[{""routeClass"":""previewCandidateFeatureRows"",""marshalingNs"":274600,""executionNs"":136200,""deserializationNs"":3600,""callCount"":2,""batchSizeSum"":2,""batchSizeMin"":1,""batchSizeMax"":1,""batchSizeHistogram"":{""1"":2}},{""routeClass"":""productionPreviewDrive"",""marshalingNs"":424500,""executionNs"":12600,""deserializationNs"":215100,""callCount"":2,""batchSizeSum"":2,""batchSizeMin"":1,""batchSizeMax"":1,""batchSizeHistogram"":{""1"":2}},{""routeClass"":""scoreRows"",""marshalingNs"":244800,""executionNs"":143200,""deserializationNs"":4700,""callCount"":4,""batchSizeSum"":4,""batchSizeMin"":1,""batchSizeMax"":10,""batchSizeHistogram"":{""1"":4}}]",197404,8,"[{""axisLabel"":""march|none"",""totalBytes"":197404,""callCount"":8}]",0,0,0,0,0,0,0,0,0,1,[],vc,vc-baseline,0,2,actionSelection,standard256,march|{}|true|operation,1,1,10,"{""1"":4}",1,1,1,"{""1"":2}",1,1,1,"{""1"":2}"
1000,6,march:chooseNStep:add,0.0732,none,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.11.stages[0].effects.0.if.else.0.if.then.0.chooseN::$targetSpaces:add:""kien-phong:none""",,,,,,,,,,,,
1000,7,march:chooseNStep:confirm,0.0573,none,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.11.stages[0].effects.0.if.else.0.if.then.0.chooseN::$targetSpaces:confirm:null,,,,,,,,,,,,
1000,8,march:chooseNStep:add,0.1068,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.11.stages[1].effects.0.forEach.effects.0.if.then.0.chooseN::$movingGuerrillas@kien-phong:none[0]:add:""tok_vc-guerrillas_226""",,,,,,,,,,,,
1000,9,march:chooseNStep:confirm,0.0574,none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],vc,vc-baseline,0,2,chooseNStep,standard256,chooseNStep:decision:doc.actionPipelines.11.stages[1].effects.0.forEach.effects.0.if.then.0.chooseN::$movingGuerrillas@kien-phong:none[0]:confirm:null,,,,,,,,,,,,
1000,10,event,55.9626,singlePass,10,1,0,0,1,0,10,0,0,1,0,0,1,0,1,"[{""unsupportedDriveClass"":""unsupported-effect"",""unsupportedOwner"":""production-preview-drive.cardEventAction"",""reason"":""production preview-drive does not route card event action candidates"",""count"":1}]",0,1.1234,0.4182,0.0197,10,"[{""routeClass"":""scoreRows"",""marshalingNs"":1123400,""executionNs"":418200,""deserializationNs"":19700,""callCount"":10,""batchSizeSum"":90,""batchSizeMin"":1,""batchSizeMax"":10,""batchSizeHistogram"":{""9-16"":10}}]",328552,10,"[{""axisLabel"":""actionSelection|none"",""totalBytes"":328552,""callCount"":10}]",0,0,0,0,0,0,6,3228,18,1,[],us,us-baseline,0,3,actionSelection,standard256,"event|{""eventCardId"":""card-112"",""eventDeckId"":""fitl-events-initial-card-pack"",""side"":""shaded""}|false|event",9,1,10,"{""9-16"":10}",,,,,,,,
1000,11,chooseNStep:chooseNStep:confirm,0.0464,none,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],us,us-baseline,0,3,chooseNStep,standard256,chooseNStep:decision:eventTarget:0:$targetProvince::$targetProvince:confirm:null,,,,,,,,,,,,
1000,12,rally,4.0599,singlePass,1,0,0,1,0,13,0,13,0.3036,1,0,1,0,1,0,[],1,0.9196,0.4573,0.0885,14,"[{""routeClass"":""previewCandidateFeatureRows"",""marshalingNs"":148300,""executionNs"":40300,""deserializationNs"":1300,""callCount"":1,""batchSizeSum"":1,""batchSizeMin"":1,""batchSizeMax"":1,""batchSizeHistogram"":{""1"":1}},{""routeClass"":""productionPreviewDrive"",""marshalingNs"":183900,""executionNs"":6600,""deserializationNs"":82100,""callCount"":1,""batchSizeSum"":1,""batchSizeMin"":1,""batchSizeMax"":1,""batchSizeHistogram"":{""1"":1}},{""routeClass"":""scoreRows"",""marshalingNs"":587400,""executionNs"":410400,""deserializationNs"":5100,""callCount"":12,""batchSizeSum"":12,""batchSizeMin"":1,""batchSizeMax"":10,""batchSizeHistogram"":{""1"":12}}]",423488,14,"[{""axisLabel"":""rally|none"",""totalBytes"":423488,""callCount"":14}]",0,0,0,0,0,0,0,0,0,0,[],nva,nva-baseline,0,4,actionSelection,standard256,rally|{}|true|operation,1,1,10,"{""1"":12}",1,1,1,"{""1"":1}",1,1,1,"{""1"":1}"
1000,13,rally:chooseNStep:add,0.1251,none,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,[],0,0,0,0,0,0,0,0,0,0,[],nva,nva-baseline,0,4,chooseNStep,standard256,"chooseNStep:decision:doc.actionPipelines.8.stages[0].effects.0.if.else.0.chooseN::$targetSpaces:add:""northeast-cambodia:none""",,,,,,,,,,,,
